food_id,food_name_vi,status,unit_type,serving_size,serving_weight_g,calories_per_serving_selected,calories_per_100g,calories_min_final,calories_max_final,confidence,source_used,note,source_cell,dataset_version,created_at
pho_bo,Phở bò,ok,per_serving,1 tô / 1 phần,missing,410,missing,350,500,medium,nhathuoclongchau.com.vn,"Giá trị tương đối. Số liệu thay đổi theo lượng bánh phở, loại thịt bò, nước béo, topping và quy cách tô. Macro chưa đủ tin cậy nên để missing.",CORE20_MASTER_CELL16,calories_v0_34_research_ram,2026-05-29 07:02:20
banh_mi_thit,Bánh mì thịt,ok,per_serving,1 ổ,missing,410,missing,300,500,medium,medlatec.vn | nhathuoclongchau.com.vn,Đã lọc số calo thành phần và chỉ giữ candidate phù hợp khẩu phần đầy đủ.,CORE20_MASTER_CELL16,calories_v0_34_research_ram,2026-05-29 07:02:20
com_tam_suon_bi_cha,Cơm tấm sườn bì chả,ok,per_serving,1 phần / 1 đĩa,missing,615,missing,500,800,medium-high,btaskee.com | dienmayxanh.com | fiti.vn | nhathuoclongchau.com.vn | toshiko.vn,Đã lọc số calo thành phần và chỉ giữ candidate phù hợp khẩu phần đầy đủ.,CORE20_MASTER_CELL16,calories_v0_34_research_ram,2026-05-29 07:02:20
bun_bo_hue,Bún bò Huế,ok,per_serving,1 tô,missing,535,missing,534,535,low-medium,nhathuoclongchau.com.vn,Đã lọc số calo thành phần và chỉ giữ candidate phù hợp khẩu phần đầy đủ. Đã chỉnh calories_max từ 534 lên 535 để khớp calories_selected đã làm tròn.,CORE20_MASTER_CELL16,calories_v0_34_research_ram,2026-05-29 07:02:20
bun_thit_nuong,Bún thịt nướng,ok,per_serving,1 tô / 1 phần,missing,525,missing,450,600,low-medium,vuaganuong.vn,"Giữ số cho 1 tô/phần cơ bản, đã loại số của đậu phộng, dầu, chả giò và topping thêm.",CORE20_MASTER_CELL16,calories_v0_34_research_ram,2026-05-29 07:02:20
goi_cuon,Gỏi cuốn,ok,per_serving,1 cuốn,missing,50,missing,49,120,medium,btaskee.com | fptshop.com.vn | mytour.vn | patecotden.net | thammylinhanh.vn | yourfit.vn,"Đã chuẩn hóa về 1 cuốn. Các dòng kiểu 208 kcal / 4 cuốn được chia lại, các số như 667 kcal/bữa ăn bị loại.",CORE20_MASTER_CELL16,calories_v0_34_research_ram,2026-05-29 07:02:20
banh_xeo,Bánh xèo,ok,per_serving,1 cái / 1 phần,missing,350,missing,250,600,medium-high,btaskee.com | gcaeco.vn | nhathuocankhang.com | tiemchunglongchau.com.vn | yourfit.vn,"Giữ kết quả Cell 7; các nguồn hội tụ quanh 300-400 kcal/cái, biến thể nhiều dầu hoặc lớn có thể cao hơn.",CORE20_MASTER_CELL16,calories_v0_34_research_ram,2026-05-29 07:02:20
banh_cuon,Bánh cuốn,ok,per_serving,1 đĩa / 1 phần,missing,595,missing,300,600,medium,dienmayxanh.com | nhathuoclongchau.com.vn | nongsanlangbiang.com,Ưu tiên biến thể phổ biến ăn kèm giò/chả; bánh cuốn nhân thịt đơn giản có thể thấp hơn.,CORE20_MASTER_CELL16,calories_v0_34_research_ram,2026-05-29 07:02:20
chao_long,Cháo lòng,ok,per_serving,1 tô,missing,350,missing,250,400,medium,btaskee.com | medlatec.vn,"Đã loại số 667 kcal/bữa ăn, số cho 2 bát/ngày và biến thể ăn kèm quẩy. Dùng khẩu phần 1 tô cháo lòng cơ bản/full topping.",CORE20_MASTER_CELL16,calories_v0_34_research_ram,2026-05-29 07:02:20
mi_quang,Mì Quảng,ok,per_serving,1 tô,missing,415,missing,400,600,low-medium,btaskee.com,"Đã loại số của tô lớn, số so sánh món khác và mức 667 kcal/bữa ăn. Dùng khẩu phần 1 tô cỡ vừa/phổ biến.",CORE20_MASTER_CELL16,calories_v0_34_research_ram,2026-05-29 07:02:20
hu_tieu,Hủ tiếu,ok,per_serving,1 tô,missing,410,missing,350,650,low-medium,nhathuoclongchau.com.vn,"Đã loại hủ tiếu gói, hủ tiếu chay, hủ tiếu xào và số 100g sợi. Dùng khẩu phần 1 tô nước/phổ biến.",CORE20_MASTER_CELL16,calories_v0_34_research_ram,2026-05-29 07:02:20
bun_rieu_cua,Bún riêu cua,ok,per_serving,1 tô,missing,465,missing,450,600,medium-high,btaskee.com | nhathuocankhang.com | nhathuoclongchau.com.vn,Đã loại số của các món bún khác và range quá rộng 300-500. Dùng khẩu phần 1 tô bún riêu cua/thông thường.,CORE20_MASTER_CELL16,calories_v0_34_research_ram,2026-05-29 07:02:20
banh_canh,Bánh canh,ok,per_serving,1 tô,missing,340,missing,300,590,medium-high,btaskee.com | nhathuocankhang.com | nhathuoclongchau.com.vn | phuongnamhospital.com,"Đã loại số 667 kcal/bữa ăn, 100g/sợi/bột và các biến thể quá đặc biệt. Dùng khẩu phần 1 tô bánh canh phổ biến.",CORE20_MASTER_CELL16,calories_v0_34_research_ram,2026-05-29 07:02:20
xoi_xeo,Xôi xéo,ok,per_serving,1 gói / 1 phần,missing,630,missing,500,664,medium-high,dienmayxanh.com | memart.vn | nhathuoclongchau.com.vn | tiemchunglongchau.com.vn,"Đã loại số 100g, 667 kcal/bữa ăn, dầu ăn/hành phi và các dòng so sánh món khác. Dùng khẩu phần 1 gói/phần xôi xéo có topping phổ biến.",CORE20_MASTER_CELL16,calories_v0_34_research_ram,2026-05-29 07:02:20
com_chien_duong_chau,Cơm chiên dương châu,ok,per_serving,1 đĩa / 1 phần,missing,575,missing,400,800,medium,bibihealthybread.vn | pharmacity.vn,"Đã loại VietCalorie 165 kcal/đĩa, dữ liệu 100g và các dòng so sánh món khác. Dùng khẩu phần 1 đĩa/phần cơm chiên Dương Châu.",CORE20_MASTER_CELL16,calories_v0_34_research_ram,2026-05-29 07:02:20
cha_gio,Chả giò,ok,per_serving,1 cuốn / 1 cái,missing,110,missing,80,170,medium-high,bachhoaxanh.com | nhathuoclongchau.com.vn | vietlongfoods.com,"Đã loại dữ liệu 100g, chả giò chay, số của nước sốt/dầu và biến thể quá nhỏ. Dùng khẩu phần 1 cuốn/1 cái chả giò chiên phổ biến.",CORE20_MASTER_CELL16,calories_v0_34_research_ram,2026-05-29 07:02:20
